City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pisco,0,PE,1552233600,30,-13.71,-76.2,71.6,8.05
Atuona,64,PF,1552236516,100,-9.8,-139.03,82.12,10.31
Zyryanovsk,88,KZ,1552236518,84,49.74,84.27,23.35,1.25
Maria Aurora,24,PH,1552236519,96,15.8,121.47,66.59,1.48
Vaini,0,IN,1552236521,83,15.34,74.49,70.06,3.09
Abonnema,8,NG,1552236522,63,4.71,6.79,83.29,9.42
Carnarvon,0,ZA,1552236523,18,-30.97,22.13,65.02,9.75
Kapaa,75,US,1552236322,78,22.08,-159.32,71.6,14.99
Clyde River,1,CA,1552233600,75,70.47,-68.59,-14.81,5.82
San Luis,80,AR,1552236527,51,-33.3,-66.34,70.87,5.55
Guerrero Negro,88,MX,1552236529,87,27.97,-114.04,56.29,7.74
Montepuez,12,MZ,1552236530,78,-13.13,39.0,74.29,2.82
Arman,20,RU,1552236531,64,59.7,150.17,-9.42,3.49
Qaanaaq,36,GL,1552236533,89,77.48,-69.36,-7.53,4.38
Bernardino de Campos,24,BR,1552236534,57,-23.01,-49.48,88.24,5.28
Ambon,0,FR,1552236530,63,47.55,-2.56,54.0,16.11
Khatanga,24,RU,1552236537,61,71.98,102.47,-7.53,7.63
Bageshwar,0,IN,1552236538,67,29.85,79.77,32.03,3.2
Shelburne,90,CA,1552236457,93,44.08,-80.2,41.0,13.87
Mataura,12,NZ,1552236005,89,-46.19,168.86,55.0,2.59
Srednekolymsk,68,RU,1552236543,68,67.46,153.71,-5.41,2.48
Aswan,12,EG,1552236544,37,24.09,32.9,64.43,7.85
Ringas,0,IN,1552235400,37,27.37,75.57,69.8,5.82
Hithadhoo,0,MV,1552236546,100,-0.6,73.08,83.96,3.2
Fukue,75,JP,1552236372,93,35.03,136.69,51.01,10.29
Georgetown,75,GY,1552233600,70,6.8,-58.16,86.0,13.87
Busselton,0,AU,1552236374,57,-33.64,115.35,61.0,14.83
Ust-Kuyga,68,RU,1552236552,71,70.0,135.55,-11.13,2.98
Flin Flon,5,CA,1552233600,71,54.77,-101.88,3.2,3.36
Orange,0,AU,1552236218,85,-33.28,149.1,64.99,7.29
Jiangyou,92,CN,1552236556,81,31.78,104.73,45.85,3.6
Bluff,0,AU,1552236557,87,-23.58,149.07,72.53,6.51
Cape Town,40,ZA,1552236221,77,-33.93,18.42,66.99,20.8
Chimbote,0,PE,1552236376,73,-9.08,-78.59,79.51,5.5
East London,75,ZA,1552233600,100,-33.02,27.91,68.0,10.29
Rikitea,44,PF,1552236563,100,-23.12,-134.97,74.74,12.77
Harrismith,92,ZA,1552236345,98,-28.27,29.13,57.55,3.04
Piranhas,0,BR,1552233600,21,-9.61,-37.76,95.0,8.05
Bethel,90,US,1552235640,96,60.79,-161.76,35.6,6.93
Mar del Plata,0,AR,1552236569,19,-46.43,-67.52,87.83,15.12
Jamestown,44,AU,1552236291,94,-33.21,138.6,62.59,4.83
Huarmey,8,PE,1552236572,54,-10.07,-78.15,83.38,4.21
Fortuna,0,ES,1552236565,31,38.18,-1.13,77.0,12.75
Owosso,90,US,1552236438,90,43.0,-84.18,37.4,23.04
Kieta,92,PG,1552236576,100,-6.22,155.63,77.08,9.42
Batagay-Alyta,36,RU,1552236577,24,67.8,130.41,-18.78,2.82
Bambanglipuro,56,ID,1552236579,97,-7.95,110.28,71.18,2.71
Kozova,75,UA,1552236346,42,49.43,25.15,50.0,4.47
San Patricio,44,PY,1552236582,69,-26.98,-56.83,80.05,6.22
Port Alfred,92,ZA,1552236304,88,-33.59,26.89,69.01,7.0
Avarua,80,CK,1552235400,88,-21.21,-159.78,78.8,4.7
Olga,40,US,1552236578,75,34.11,-118.17,55.99,2.37
Necochea,0,AR,1552236490,48,-38.55,-58.74,79.0,5.01
Punta Arenas,20,CL,1552236194,48,-53.16,-70.91,60.8,21.92
Hermanus,80,ZA,1552236384,79,-34.42,19.24,66.0,5.99
Tamworth,40,AU,1552236373,53,-31.09,150.93,71.6,1.12
Prince Rupert,90,CA,1552233600,69,54.32,-130.32,39.2,18.34
Povenets,92,RU,1552236593,93,62.85,34.83,32.84,10.58
Praia da Vitoria,75,PT,1552236384,60,38.73,-27.07,68.0,13.56
Ostrovnoy,92,RU,1552236596,92,68.05,39.51,18.94,9.24
